millis,stamp,datetime,motion_sensor_1,motion_sensor_2,temperature,sound_digital
513999,1569521334,2019/9/26 18:8:54,0,0,24.5,0
514999,1569521335,2019/9/26 18:8:55,0,0,24.5,0
515999,1569521336,2019/9/26 18:8:56,0,0,24.5,0
516999,1569521337,2019/9/26 18:8:57,0,0,24.5,0
517999,1569521338,2019/9/26 18:8:58,0,0,24.5,0
518999,1569521339,2019/9/26 18:8:59,0,0,24.5,0
519999,1569521340,2019/9/26 18:9:0,0,0,24.5,0
520998,1569521341,2019/9/26 18:9:1,0,0,24.5,0
522000,1569521342,2019/9/26 18:9:2,0,1,24.5,0
524000,1569521344,2019/9/26 18:9:4,0,0,24.5,0
524998,1569521345,2019/9/26 18:9:5,0,0,24.5,0
526000,1569521346,2019/9/26 18:9:6,0,0,24.5,0
526999,1569521347,2019/9/26 18:9:7,0,0,24.5,0
527998,1569521348,2019/9/26 18:9:8,0,0,24.5,0
529000,1569521349,2019/9/26 18:9:9,0,0,24.5,0
529999,1569521350,2019/9/26 18:9:10,0,0,24.5,0
531000,1569521351,2019/9/26 18:9:11,0,0,24.5,0
531998,1569521352,2019/9/26 18:9:12,0,0,24.5,0
533000,1569521353,2019/9/26 18:9:13,0,0,24.5,0
533999,1569521354,2019/9/26 18:9:14,0,0,24.5,0
534999,1569521355,2019/9/26 18:9:15,0,0,24.5,0
535999,1569521356,2019/9/26 18:9:16,0,0,24.5,0
536998,1569521357,2019/9/26 18:9:17,0,0,24.5,0
537999,1569521358,2019/9/26 18:9:18,0,0,24.5,0
538998,1569521359,2019/9/26 18:9:19,0,0,24.5,0
539999,1569521360,2019/9/26 18:9:20,0,0,24.5,0
540998,1569521361,2019/9/26 18:9:21,0,0,24.5,0
542000,1569521362,2019/9/26 18:9:22,0,0,24.5,0
543000,1569521363,2019/9/26 18:9:23,0,0,24.5,0
544000,1569521364,2019/9/26 18:9:24,0,1,24.5,0
545999,1569521366,2019/9/26 18:9:26,0,0,24.5,0
546999,1569521367,2019/9/26 18:9:27,0,0,24.5,0
547999,1569521368,2019/9/26 18:9:28,0,0,24.5,0
549000,1569521369,2019/9/26 18:9:29,0,0,24.5,0
549999,1569521370,2019/9/26 18:9:30,0,0,24.5,0
550999,1569521371,2019/9/26 18:9:31,0,0,24.5,0
551999,1569521372,2019/9/26 18:9:32,0,0,24.5,0
552998,1569521373,2019/9/26 18:9:33,0,0,24.5,0
553999,1569521374,2019/9/26 18:9:34,0,0,24.4,0
554999,1569521375,2019/9/26 18:9:35,0,0,24.4,0
555999,1569521376,2019/9/26 18:9:36,0,0,24.4,0
556999,1569521377,2019/9/26 18:9:37,0,0,24.4,0
557999,1569521378,2019/9/26 18:9:38,0,0,24.4,0
558999,1569521379,2019/9/26 18:9:39,0,0,24.4,0
560000,1569521380,2019/9/26 18:9:40,0,0,24.4,0
560999,1569521381,2019/9/26 18:9:41,0,0,24.4,0
561999,1569521382,2019/9/26 18:9:42,0,0,24.3,0
562999,1569521383,2019/9/26 18:9:43,0,0,24.3,0
563999,1569521384,2019/9/26 18:9:44,0,0,24.3,0
564999,1569521385,2019/9/26 18:9:45,0,0,24.3,0
565999,1569521386,2019/9/26 18:9:46,0,0,24.3,0
566999,1569521387,2019/9/26 18:9:47,0,1,24.3,0
568999,1569521389,2019/9/26 18:9:49,0,0,24.3,0
569999,1569521390,2019/9/26 18:9:50,0,0,24.3,0
570999,1569521391,2019/9/26 18:9:51,0,0,24.3,0
572000,1569521392,2019/9/26 18:9:52,0,0,24.2,0
572999,1569521393,2019/9/26 18:9:53,0,0,24.2,0
573999,1569521394,2019/9/26 18:9:54,0,0,24.2,0
574999,1569521395,2019/9/26 18:9:55,0,0,24.2,0
575998,1569521396,2019/9/26 18:9:56,0,0,24.2,0
577000,1569521397,2019/9/26 18:9:57,0,0,24.2,0
577999,1569521398,2019/9/26 18:9:58,0,0,24.1,0
579000,1569521399,2019/9/26 18:9:59,0,0,24.1,0
579998,1569521400,2019/9/26 18:10:0,0,0,24.1,0
581000,1569521401,2019/9/26 18:10:1,0,0,24,0
581998,1569521402,2019/9/26 18:10:2,0,0,24,0
583000,1569521403,2019/9/26 18:10:3,0,0,24,0
